Freq(Hz)           Exp.Intens.   Theor.Intens.        Diff.
2022.365306        38490640        40600536        -2109896
2022.342436        26908594        28214775        -1306181
2022.319566        16944115        17701511         -757396
2022.296696        15621014        16226458         -605444
2022.273826        17751674        18493888         -742214
2022.250955        13629925        15105263        -1475338
2022.228085         8201564        10488595        -2287031
2022.205215         6730469         9392456        -2661987
2022.182345         9458482        11225107        -1766625
2022.159475        15567594        17704509        -2136915
2022.136605        24319125        28261774        -3942649
2022.113735        30712363        30348612          363751
2022.090865        29840889        25288208         4552681
2022.067995        22254148        20133932         2120216
2022.045125        24538743        25817825        -1279082
2022.022255        33227886        36019100        -2791214
2021.999385        44517333        42706518         1810815
2021.976515        46470960        42936464         3534496
2021.953645        36423615        35998297          425318
2021.930775        25690444        25866227         -175783
2021.907905        20267088        19579708          687380
2021.885034        24736965        24128798          608167
2021.862164        29626344        29557644           68700
2021.839294        26867057        27497417         -630360
2021.816424        16961959        16690295          271664
2021.793554         6254713         9115268        -2860555
2021.770684         2780742         5871742        -3091000
2021.747814         2368622         4307064        -1938442
2021.724944         2280401         3444843        -1164442
2021.702074         1543203         2927891        -1384688
2021.679204         1196991         2606292        -1409301
2021.656334          583258         2410305        -1827047
2021.633464         1591350         2306705         -715355
2021.610594         1957598         2282722         -325124
2021.587724         1335429         2341500        -1006071
2021.564854         1877284         2505625         -628341
2021.541984         2464190         2833112         -368922
2021.519113         2584736         3466140         -881404
2021.496243         5906070         4788010         1118060
2021.473373        10939912         7913559         3026353
2021.450503        13586896        14010954         -424058
2021.427633        14302213        14817727         -515514
2021.404763        15665008        15658512            6496
2021.381893         9900077        12495641        -2595564
2021.359023         4893234         7810212        -2916978
2021.336153         4813806         6497051        -1683245
2021.313283         9312785         7408509         1904276
2021.290413        14871366        11316480         3554886
2021.267543        14685541        16677333        -1991792
2021.244673        13851612        15995444        -2143832
2021.221803        12421034        16954490        -4533456
2021.198933         8323989        11699964        -3375975
2021.176063         4927789         8639148        -3711359
2021.153192         5076985         8382607        -3305622
2021.130322         6487553        10003713        -3516160
2021.107452         9749602        14311381        -4561779
2021.084582        19293450        24743404        -5449954
2021.061712        39131280        42984690        -3853410
2021.038842        59646713        54961944         4684769
2021.015972        60339622        51851298         8488324
2020.993102        47626837        42216271         5410566
2020.970232        32949565        36180014        -3230449
2020.947362        33399985        41178321        -7778336
2020.924492        52144851        59217926        -7073075
2020.901622        70234909        70534594         -299685
2020.878752        73162702        68973556         4189146
2020.855882        62059668        57596068         4463600
2020.833012        43705784        37622179         6083605
2020.810142        28920735        29119307         -198572
2020.787271        24231000        30061075        -5830075
2020.764401        28114496        35409455        -7294959
2020.741531        39287303        47217885        -7930582
2020.718661        45567254        43673409         1893845
2020.695791        39105214        33023581         6081633
2020.672921        25957047        23388960         2568087
2020.650051        16754559        18765679        -2011120
2020.627181        15422191        21878352        -6456161
2020.604311        26672899        32881157        -6208258
2020.581441        43082497        38718713         4363784
2020.558571        53523429        43051885        10471544
2020.535701        58977611        52354846         6622765
2020.512831        57107306        55192773         1914533
2020.489961        47774721        48562693         -787972
2020.467091        34567902        37411722        -2843820
2020.444221        29782895        33395888        -3612993
2020.421350        41586362        41621397          -35035
2020.398480        57636296        54997487         2638809
2020.375610        65301936        58330632         6971304
2020.352740        55007932        51881046         3126886
2020.329870        36544444        41435205        -4890761
2020.307000        23226105        27437262        -4211157
2020.284130        20883328        23663570        -2780242
2020.261260        29702406        28121469         1580937
2020.238390        39132930        35809694         3323236
2020.215520        39434614        42688420        -3253806
2020.192650        32052630        36132680        -4080050
2020.169780        28936666        30994083        -2057417
2020.146910        25540100        23376320         2163780
2020.124040        23518155        19146246         4371909
2020.101170        28303961        24660637         3643324
2020.078300        28084869        30652017        -2567148
2020.055429        22758449        26160497        -3402048
2020.032559        22046592        25325910        -3279318
2020.009689        21473975        20693155          780820
2019.986819        15585965        11845370         3740595
2019.963949         6516841         7014349         -497508
2019.941079         3513817         4849203        -1335386
2019.918209         3403474         3733296         -329822
2019.895339         2216866         3089732         -872866
2019.872469         1268273         2698348        -1430075
2019.849599         1412416         2465704        -1053288
2019.826729         1653113         2353093         -699980
2019.803859         1459437         2353872         -894435
2019.780989         1995592         2492303         -496711
2019.758119         2360576         2843739         -483163
2019.735249         2284570         3604240        -1319670
2019.712379         4691895         5321929         -630034
2019.689508        11526675         9568911         1957764
2019.666638        18194838        16961640         1233198
2019.643768        17920403        17934108          -13705
2019.620898        10632226        11287155         -654929
2019.598028         4348543         6933031        -2584488
2019.575158         4077185         6097627        -2020442
2019.552288         9270430         7971576         1298854
2019.529418        16518981        13936272         2582709
2019.506548        18763962        18292179          471783
2019.483678        13308985        13954598         -645613
2019.460808         5384852         7128239        -1743387
2019.437938         2112509         4045700        -1933191
2019.415068         1522485         2704396        -1181911
2019.392198          354551         2025683        -1671132
2019.369328           93290         1637887        -1544597
2019.346458          169751         1397073        -1227322
2019.323587         -180233         1239402        -1419635
2019.300717           92609         1133374        -1040765
2019.277847          261548         1062216         -800668
2019.254977           94485         1016598         -922113
2019.232107         -643675          991338        -1635013
2019.209237          298800          983849         -685049
2019.186367          507995          993421         -485426
2019.163497          696798         1021003         -324205
2019.140627          570439         1069357         -498918
2019.117757          478966         1143658         -664692
2019.094887          950675         1252759         -302084
2019.072017          869885         1411741         -541856
2019.049147         1457210         1647173         -189963
2019.026277         2442575         2008751          433824
2019.003407         2293779         2597581         -303802
2018.980537         2731199         3643662         -912463
2018.957667         3969448         5747776        -1778328
2018.934796        10102935        10656758         -553823
2018.911926        19531302        21150704        -1619402
2018.889056        27430272        26551677          878595
2018.866186        23358222        19201188         4157034
2018.843316        12458881        10794791         1664090
2018.820446         6522020         8337122        -1815102
2018.797576         7669238         9842009        -2172771
2018.774706        16553525        16754712         -201187
2018.751836        26275279        25975628          299651
2018.728966        25307831        23584085         1723746
2018.706096        14652815        12649805         2003010
2018.683226         7135413         6663171          472242
2018.660356         4103358         4185873          -82515
2018.637486         3958006         3029106          928900
2018.614616         2863201         2434375          428826
2018.591746         2095757         2126093          -30336
2018.568875         2743879         1994900          748979
2018.546005         2502620         2001647          500973
2018.523135         3043853         2149239          894614
2018.500265         2573342         2484583           88759
2018.477395         4235129         3133017         1102112
2018.454525         5105455         4412470          692985
2018.431655         8887238         7212246         1674992
2018.408785        18364582        14029894         4334688
2018.385915        27306567        24810710         2495857
2018.363045        24953763        25287944         -334181
2018.340175        15256943        15276088          -19145
2018.317305         8604578         9299563         -694985
2018.294435         7416476         8354112         -937636
2018.271565        14545569        11488008         3057561
2018.248695        25352075        20714331         4637744
2018.225825        27135793        26343942          791851
2018.202954        18261476        19387127        -1125651
2018.180084         8520299         9561537        -1041238
2018.157214         3863945         5202896        -1338951
2018.134344         2912431         3292794         -380363
2018.111474         2444774         2317209          127565
2018.088604         2244621         1752930          491691
2018.065734         2071388         1395594          675794
2018.042864         1581807         1153679          428128
2018.019994         1178553          981406          197147
2017.997124         1101194          853804          247390
2017.974254         1259413          756285          503128
2017.951384          672439          679842           -7403
2017.928514          746804          618655          128149
2017.905644         1483735          568817          914918
2017.882774         1863359          527623         1335736
2017.859904          627812          493146          134666
2017.837033         1087743          463983          623760
2017.814163         1326929          439088          887841
2017.791293         1313484          417671          895813
2017.768423          660329          399121          261208
2017.745553          538036          382963          155073
2017.722683          894995          368821          526174
2017.699813         1305177          356395          948782
2017.676943          811503          345441          466062
2017.654073          865357          335761          529596
2017.631203          330573          327194            3379
2017.608333          135485          319603         -184118
2017.585463          -26227          312877         -339104
2017.562593         1065397          306922          758475
2017.539723          885763          301658          584105
2017.516853         1100217          297019          803198
2017.493983         1101812          292946          808866
2017.471112          315169          289393           25776
2017.448242          224674          286317          -61643
2017.425372         -283162          283683         -566845
2017.402502          251061          281461          -30400
2017.379632         1339928          279625         1060303
2017.356762         1672021          278153         1393868
2017.333892          723185          277027          446158
2017.311022         1007829          276232          731597
2017.288152          543925          275754          268171
2017.265282          327571          275583           51988
2017.242412          -12812          275712         -288524
2017.219542          497833          276133          221700
2017.196672          688428          276843          411585
2017.173802          374451          277839           96612
2017.150932          445587          279121          166466
2017.128062          741651          280689          460962
2017.105191          316807          282546           34261
2017.082321           54431          284697         -230266
2017.059451         -445072          287147         -732219
2017.036581          296992          289904            7088
2017.013711         1476473          292978         1183495
2016.990841         1002879          296381          706498
2016.967971          330317          300126           30191
2016.945101          478212          304229          173983
2016.922231          549482          308708          240774
2016.899361          232410          313585          -81175
2016.876491          645970          318883          327087
2016.853621          793189          324632          468557
2016.830751          834969          330860          504109
2016.807881          431959          337606           94353
2016.785011         1502400          344909         1157491
2016.762141          794215          352816          441399
2016.739270          821866          361380          460486
2016.716400          737303          370661          366642
2016.693530          480183          380731           99452
2016.670660         1231643          391669          839974
2016.647790          940018          403568          536450
2016.624920         1465894          416537         1049357
2016.602050         1605794          430702         1175092
2016.579180         1640319          446210         1194109
2016.556310         1279249          463236          816013
2016.533440          893730          481987          411743
2016.510570         1411251          502711          908540
2016.487700         1480466          525704          954762
2016.464830         1367939          551328          816611
2016.441960         1001275          580025          421250
2016.419090          479387          612341         -132954
2016.396220         1189492          648959          540533
2016.373349          634603          690743          -56140
2016.350479          286768          738800         -452032
2016.327609         -148908          794571         -943479
2016.304739         1202854          859964          342890
2016.281869         1222788          937552          285236
2016.258999          104997         1030886         -925889
2016.236129          395659         1144989         -749330
2016.213259         1190592         1287187          -96595
2016.190389         2148742         1468548          680194
2016.167519         2617833         1706516          911317
2016.144649         2461444         2030065          431379
2016.121779         2613495         2490544          122951
2016.098909         2559073         3186841         -627768
2016.076039         4306850         4330939          -24089
2016.053169         6861583         6443343          418240
2016.030299        11979047        10976111         1002936
2016.007428        23303494        20810822         2492672
2015.984558        36046805        29587238         6459567
2015.961688        40252841        37194636         3058205
2015.938818        32588570        30819371         1769199
2015.915948        27727001        26214766         1512235
2015.893078        21652228        24519033        -2866805
2015.870208        17447708        19556612        -2108904
2015.847338        23756049        24131580         -375531
2015.824468        32043595        28569874         3473721
2015.801598        37523265        30985185         6538080
2015.778728        31523830        30175981         1347849
2015.755858        21779325        24395203        -2615878
2015.732988        19883530        22919062        -3035532
2015.710118        13003326        18344856        -5341530
2015.687248         6106802        10242351        -4135549
2015.664378         4207952         6649039        -2441087
2015.641507         3860044         5148709        -1288665
2015.618637         3032758         4541336        -1508578
2015.595767         2234751         4445231        -2210480
2015.572897         2068025         4788918        -2720893
2015.550027         4286279         5718123        -1431844
2015.527157         6586757         7762186        -1175429
2015.504287        10659124        12506560        -1847436
2015.481417        18242846        22356316        -4113470
2015.458547        24851118        28597205        -3746087
2015.435677        29551231        33568666        -4017435
2015.412807        31481416        31901840         -420424
2015.389937        26021564        26049041          -27477
2015.367067        25333442        28029223        -2695781
2015.344197        30759844        24481853         6277991
2015.321327        31484825        27827503         3657322
2015.298457        29532644        30025429         -492785
2015.275586        26624973        30303823        -3678850
2015.252716        28454163        28885724         -431561
2015.229846        31239670        30527938          711732
2015.206976        32182910        31379247          803663
2015.184106        40069664        41299687        -1230023
2015.161236        43266812        39040953         4225859
2015.138366        35312855        33299419         2013436
2015.115496        20795440        21025518         -230078
2015.092626        10334527        13343292        -3008765
2015.069756         9338780        11539320        -2200540
2015.046886        16028686        14198694         1829992
2015.024016        25667520        23356338         2311182
2015.001146        28121183        29140373        -1019190
2014.978276        24450793        27879812        -3429019
2014.955406        15394277        17043146        -1648869
2014.932536         6926407         9403695        -2477288
2014.909665         4221734         6236925        -2015191
2014.886795         3618492         4796139        -1177647
2014.863925         3421283         4082357         -661074
2014.841055         2983150         3741424         -758274
2014.818185         2227344         3638226        -1410882
2014.795315         3045947         3730550         -684603
2014.772445         3538195         4035994         -497799
2014.749575         3611716         4644286        -1032570
2014.726705         4876452         5791826         -915374
2014.703835         6652591         8114021        -1461430
2014.680965        12482706        13461011         -978305
2014.658095        22237188        24693951        -2456763
2014.635225        28051509        29871160        -1819651
2014.612355        28413226        28901169         -487943
2014.589485        22204614        18928770         3275844
2014.566615        15649266        14429750         1219516
2014.543745        19807100        16156745         3650355
2014.520874        26325394        24977620         1347774
2014.498004        34116897        37870307        -3753410
2014.475134        42399482        40729202         1670280
2014.452264        38858222        42372654        -3514432
2014.429394        25794257        31419086        -5624829
2014.406524        19321177        24903153        -5581976
2014.383654        31912840        30646726         1266114
2014.360784        53040041        47715062         5324979
2014.337914        64200509        57902896         6297613
2014.315044        70853550        68652197         2201353
2014.292174        66679867        66229557          450310
2014.269304        59658377        61134727        -1476350
2014.246434        48461691        55535351        -7073660
2014.223564        41603395        44404512        -2801117
2014.200694        47813953        51792772        -3978819
2014.177824        51624635        54821750        -3197115
2014.154953        59851485        57397612         2453873
2014.132083        57231148        55705239         1525909
2014.109213        44989742        48811625        -3821883
2014.086343        32550248        39333918        -6783670
2014.063473        17695116        23175549        -5480433
2014.040603         9293323        16126978        -6833655
2014.017733         7369097        14332314        -6963217
